지역,시험종류,연도,회차,시험구분,임용예정기관,직군,직렬,직류,직급,대상,선발예정인원,접수인원,경쟁률(접수/선발),응시인원,응시율(%),경쟁률(응시/선발),필기합격인원,합격선,합격선기준,양성평등합격선,원본파일명,비고
서울,공무원,2023,1회,공개경쟁,,행정직군,행정,일반행정,9급,일반,585,12006,20.5:1,8305,69.2,14.2:1,712,91,과목평균,90,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,행정,일반행정,9급,지방의회,31,625,20.2:1,330,52.8,10.6:1,52,92,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,행정,일반행정,9급,장애인,37,269,7.3:1,191,71.0,5.2:1,49,59,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,행정,일반행정,9급,저소득층,72,454,6.3:1,317,69.8,4.4:1,97,72,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,세무,지방세,9급,일반,83,2059,24.8:1,1317,64.0,15.9:1,116,83,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,세무,지방세,9급,장애인,5,11,2.2:1,6,54.5,1.2:1,3,53,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,세무,지방세,9급,저소득층,10,73,7.3:1,47,64.4,4.7:1,13,69,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,전산,전산,9급,일반,38,673,17.7:1,413,61.4,10.9:1,50,83,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,전산,전산,9급,장애인,3,14,4.7:1,11,78.6,3.7:1,5,69,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,전산,전산,9급,저소득층,5,26,5.2:1,19,73.1,3.8:1,7,67,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,사회복지,사회복지,9급,일반,231,2472,10.7:1,1903,77.0,8.2:1,335,81,과목평균,78,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,사회복지,사회복지,9급,장애인,14,67,4.8:1,53,79.1,3.8:1,6,54,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,사회복지,사회복지,9급,저소득층,28,140,5.0:1,113,80.7,4.0:1,37,61,과목평균,60,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,사서,사서,9급,일반,3,183,61.0:1,76,41.5,25.3:1,5,89,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,속기,속기,9급,지방의회,8,97,12.1:1,68,70.1,8.5:1,11,87,과목평균,86,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,방호,방호,9급,일반,12,532,44.3:1,297,55.8,24.8:1,17,88.33,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,방호,방호,9급,저소득층,2,23,11.5:1,16,69.6,8.0:1,5,73.33,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,공업,일반기계,9급,일반,43,226,5.3:1,155,68.6,3.6:1,60,79,과목평균,76,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,공업,일반기계,9급,장애인,4,6,1.5:1,4,66.7,1.0:1,0,,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,공업,일반기계,9급,저소득층,5,12,2.4:1,10,83.3,2.0:1,7,66,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,공업,일반전기,9급,일반,6,161,26.8:1,82,50.9,13.7:1,10,87,과목평균,84,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,공업,일반전기,9급,장애인,1,6,6.0:1,4,66.7,4.0:1,1,70,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,공업,일반전기,9급,저소득층,2,7,3.5:1,5,71.4,2.5:1,4,64,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,공업,일반화공,9급,일반,10,143,14.3:1,96,67.1,9.6:1,15,92,과목평균,90,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,공업,일반화공,9급,장애인,2,1,0.5:1,1,100.0,0.5:1,0,,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,공업,일반화공,9급,저소득층,2,3,1.5:1,2,66.7,1.0:1,1,88,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,농업,일반농업,9급,일반,6,113,18.8:1,66,58.4,11.0:1,10,90,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,녹지,산림자원,9급,일반,29,184,6.3:1,132,71.7,4.6:1,38,86,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,녹지,산림자원,9급,장애인,3,4,1.3:1,3,75.0,1.0:1,1,71,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,녹지,산림자원,9급,저소득층,3,11,3.7:1,8,72.7,2.7:1,5,60,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,녹지,조경,9급,일반,30,212,7.1:1,148,69.8,4.9:1,40,78,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,녹지,조경,9급,장애인,3,2,0.7:1,1,50.0,0.3:1,1,72,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,녹지,조경,9급,저소득층,4,4,1.0:1,2,50.0,0.5:1,1,73,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,보건,보건,9급,일반,3,454,151.3:1,294,64.8,98.0:1,8,94,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,보건,보건,9급,장애인,1,19,19.0:1,15,78.9,15.0:1,3,87,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,환경,일반환경,9급,일반,7,98,14.0:1,63,64.3,9.0:1,10,87,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,시설,일반토목,9급,일반,174,579,3.3:1,417,72.0,2.4:1,224,50,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,시설,일반토목,9급,장애인,16,1,0.1:1,1,100.0,0.1:1,0,,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,시설,일반토목,9급,저소득층,21,10,0.5:1,9,90.0,0.4:1,3,58,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,시설,건축,9급,일반,111,465,4.2:1,321,69.0,2.9:1,148,68,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,시설,건축,9급,장애인,14,9,0.6:1,7,77.8,0.5:1,3,59,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,시설,건축,9급,저소득층,15,13,0.9:1,12,92.3,0.8:1,3,55,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,방재안전,방재안전,9급,일반,64,313,4.9:1,192,61.3,3.0:1,83,78,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,방재안전,방재안전,9급,저소득층,6,13,2.2:1,8,61.5,1.3:1,7,62,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,방송통신,통신기술,9급,일반,32,193,6.0:1,127,65.8,4.0:1,44,75,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,방송통신,통신기술,9급,장애인,2,2,1.0:1,1,50.0,0.5:1,0,,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,방송통신,통신기술,9급,저소득층,2,3,1.5:1,2,66.7,1.0:1,2,70,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,시설관리,기계시설,9급,일반,27,274,10.1:1,162,59.1,6.0:1,39,75,과목평균,73.33,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,시설관리,기계시설,9급,장애인,1,11,11.0:1,7,63.6,7.0:1,0,,과목평균,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
