구분,지역,시험종류,연도,회차,시험구분,임용기관,직렬,직류,직급,대상,선발,접수,합격선,원본파일명
A,서울,공무원,2023,1회,공개경쟁,,행정,일반행정,9급,일반,585,12006,91,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,행정,일반행정,9급,지방의회,31,625,92,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,행정,일반행정,9급,장애인,37,269,59,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,행정,일반행정,9급,저소득층,72,454,72,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,세무,지방세,9급,일반,83,2059,83,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,세무,지방세,9급,장애인,5,11,53,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,세무,지방세,9급,저소득층,10,73,69,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,전산,전산,9급,일반,38,673,83,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,전산,전산,9급,장애인,3,14,69,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,전산,전산,9급,저소득층,5,26,67,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,사회복지,사회복지,9급,일반,231,2472,81,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,사회복지,사회복지,9급,장애인,14,67,54,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,사회복지,사회복지,9급,저소득층,28,140,61,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,사서,사서,9급,일반,3,183,89,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,속기,속기,9급,지방의회,8,97,87,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,방호,방호,9급,일반,12,532,88.33,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,방호,방호,9급,저소득층,2,23,73.33,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,공업,일반기계,9급,일반,43,226,79,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,공업,일반기계,9급,장애인,4,6,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,공업,일반기계,9급,저소득층,5,12,66,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,공업,일반전기,9급,일반,6,161,87,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,공업,일반전기,9급,장애인,1,6,70,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,공업,일반전기,9급,저소득층,2,7,64,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,공업,일반화공,9급,일반,10,143,92,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,공업,일반화공,9급,장애인,2,1,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,공업,일반화공,9급,저소득층,2,3,88,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,농업,일반농업,9급,일반,6,113,90,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,녹지,산림자원,9급,일반,29,184,86,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,녹지,산림자원,9급,장애인,3,4,71,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,녹지,산림자원,9급,저소득층,3,11,60,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,녹지,조경,9급,일반,30,212,78,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,녹지,조경,9급,장애인,3,2,72,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,녹지,조경,9급,저소득층,4,4,73,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,보건,보건,9급,일반,3,454,94,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,보건,보건,9급,장애인,1,19,87,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
