지역,시험종류,연도,회차,시험구분,임용예정기관,직군,직렬,직류,직급,대상,선발예정인원,접수인원,접수여성,경쟁률(접수/선발),응시인원,응시여성,응시율,경쟁률(응시/선발),필기합격인원,필기합격여성,합격선,양성평등성별,양성평등합격선,최종합격인원,최종합격여성,원본파일명,비고
경기,공무원,2024,1회,공개경쟁,수원시,,간호,간호,8급,일반,2,99,,,60,,,,4,,92,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,안양시,,간호,간호,8급,일반,4,46,,,35,,,,7,,93,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,시흥시,,간호,간호,8급,일반,2,56,,,42,,,,5,,93,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,광주시,,간호,간호,8급,일반,5,56,,,39,,,,8,,85,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,광명시,,간호,간호,8급,일반,3,58,,,43,,,,6,,90,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,군포시,,간호,간호,8급,일반,5,83,,,58,,,,10,,91,,89,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,양주시,,간호,간호,8급,일반,2,74,,,58,,,,7,,93,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,이천시,,간호,간호,8급,일반,2,25,,,19,,,,4,,89,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,안성시,,간호,간호,8급,일반,3,23,,,18,,,,6,,88,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,구리시,,간호,간호,8급,일반,1,32,,,19,,,,3,,80,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,포천시,,간호,간호,8급,일반,2,32,,,24,,,,4,,90,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,양평군,,간호,간호,8급,일반,3,30,,,25,,,,5,,93,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,여주시,,간호,간호,8급,일반,1,11,,,5,,,,3,,69,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,가평군,,간호,간호,8급,일반,1,6,,,4,,,,3,,87,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,연천군,,간호,간호,8급,일반,2,30,,,22,,,,4,,83,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,안양시,,간호,간호)(장애인,8급,일반,1,4,,,3,,,,3,,59,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,화성시,,보건진료,보건진료,8급,일반,1,20,,,7,,,,3,,77,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,평택시,,보건진료,보건진료,8급,일반,3,51,,,36,,,,5,,90,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,이천시,,보건진료,보건진료,8급,일반,1,18,,,12,,,,3,,92,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,안성시,,보건진료,보건진료,8급,일반,3,32,,,27,,,,6,,89,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,포천시,,보건진료,보건진료,8급,일반,2,36,,,25,,,,4,,88,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,가평군,,보건진료,보건진료,8급,일반,1,16,,,8,,,,3,,52,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,연천군,,보건진료,보건진료,8급,일반,1,23,,,14,,,,3,,85,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,경기도,,행정,일반행정,9급,일반,5,499,,,272,,,,7,,87,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,수원시,,행정,일반행정,9급,일반,80,1445,,,1088,,,,130,,85,,84,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,고양시,,행정,일반행정,9급,일반,10,401,,,306,,,,13,,84,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,화성시,,행정,일반행정,9급,일반,60,692,,,556,,,,81,,85,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,성남시,,행정,일반행정,9급,일반,39,689,,,500,,,,50,,85,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
경기,공무원,2024,1회,공개경쟁,부천시,,행정,일반행정,9급,일반,29,561,,,423,,,,41,,86,,,,,2024년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.xlsx,
