지역,시험종류,연도,회차,시험구분,임용예정기관,직군,직렬,직류,직급,대상,선발예정인원,접수인원,접수여성,경쟁률(접수/선발),응시인원,응시여성,응시율,경쟁률(응시/선발),필기합격인원,필기합격여성,합격선,양성평등성별,양성평등합격선,최종합격인원,최종합격여성,원본파일명,비고
광주,공무원,2023,1회,공개경쟁,,,행정,일반행정,9급,일반,50,,,,1686,,,,74,,92,,91,,,★2023년도 제1회 광주광역시 지방공무원 임용 필기시험 합격자 및 면접시험 시행계획 공고.hwp,시험구분 원본미표기(공개로 가정)
광주,공무원,2023,1회,공개경쟁,,,행정,일반행정,9급,장애인,7,,,,47,,,,8,,65,,,,,★2023년도 제1회 광주광역시 지방공무원 임용 필기시험 합격자 및 면접시험 시행계획 공고.hwp,시험구분 원본미표기(공개로 가정)
광주,공무원,2023,1회,공개경쟁,,,행정,일반행정,9급,저소득층,2,,,,44,,,,3,,91,,,,,★2023년도 제1회 광주광역시 지방공무원 임용 필기시험 합격자 및 면접시험 시행계획 공고.hwp,시험구분 원본미표기(공개로 가정)
광주,공무원,2023,1회,공개경쟁,,,행정,일반행정,9급,지방의회,1,,,,15,,,,2,,87,,,,,★2023년도 제1회 광주광역시 지방공무원 임용 필기시험 합격자 및 면접시험 시행계획 공고.hwp,시험구분 원본미표기(공개로 가정)
광주,공무원,2023,1회,공개경쟁,,,세무,지방세,9급,일반,1,,,,99,,,,2,,86,,,,,★2023년도 제1회 광주광역시 지방공무원 임용 필기시험 합격자 및 면접시험 시행계획 공고.hwp,시험구분 원본미표기(공개로 가정)
광주,공무원,2023,1회,공개경쟁,,,전산,전산,9급,일반,4,,,,74,,,,5,,81,,,,,★2023년도 제1회 광주광역시 지방공무원 임용 필기시험 합격자 및 면접시험 시행계획 공고.hwp,시험구분 원본미표기(공개로 가정)
광주,공무원,2023,1회,공개경쟁,,,전산,전산,9급,장애인,1,,,,0,,,,0,,,,,,,★2023년도 제1회 광주광역시 지방공무원 임용 필기시험 합격자 및 면접시험 시행계획 공고.hwp,시험구분 원본미표기(공개로 가정)
광주,공무원,2023,1회,공개경쟁,,,사회복지,사회복지,9급,일반,8,,,,273,,,,11,,87,,,,,★2023년도 제1회 광주광역시 지방공무원 임용 필기시험 합격자 및 면접시험 시행계획 공고.hwp,시험구분 원본미표기(공개로 가정)
광주,공무원,2023,1회,공개경쟁,,,사회복지,사회복지,9급,장애인,1,,,,15,,,,2,,75,,,,,★2023년도 제1회 광주광역시 지방공무원 임용 필기시험 합격자 및 면접시험 시행계획 공고.hwp,시험구분 원본미표기(공개로 가정)
광주,공무원,2023,1회,공개경쟁,,,사회복지,사회복지,9급,저소득층,1,,,,22,,,,2,,77,,,,,★2023년도 제1회 광주광역시 지방공무원 임용 필기시험 합격자 및 면접시험 시행계획 공고.hwp,시험구분 원본미표기(공개로 가정)
광주,공무원,2023,1회,공개경쟁,,,공업,일반기계,9급,일반,3,,,,42,,,,4,,89,,,,,★2023년도 제1회 광주광역시 지방공무원 임용 필기시험 합격자 및 면접시험 시행계획 공고.hwp,시험구분 원본미표기(공개로 가정)
