지역,시험종류,연도,회차,시험구분,임용예정기관,직군,직렬,직류,직급,대상,선발예정인원,접수인원,접수여성,경쟁률(접수/선발),응시인원,응시여성,응시율,경쟁률(응시/선발),필기합격인원,필기합격여성,합격선,양성평등성별,양성평등합격선,최종합격인원,최종합격여성,원본파일명,비고
광주,교행,2025,1회,공개경쟁,,,교육행정,교육행정,9급,일반,53,1029,,,787,,,,72,,455,,,,,2025년도 광주광역시교육청 지방공무원 9급 임용 필기시험 합격자발표 및 면접시험 시행계획.pdf,
광주,교행,2025,1회,공개경쟁,,,교육행정,교육행정,9급,장애인,3,,,,,,,,6,,310,,,,,2025년도 광주광역시교육청 지방공무원 9급 임용 필기시험 합격자발표 및 면접시험 시행계획.pdf,
광주,교행,2025,1회,공개경쟁,,,교육행정,교육행정,9급,저소득층,2,,,,,,,,4,,390,,,,,2025년도 광주광역시교육청 지방공무원 9급 임용 필기시험 합격자발표 및 면접시험 시행계획.pdf,
광주,교행,2025,1회,공개경쟁,,,전산,전산,9급,일반,4,51,,,21,,,,6,,375,,,,,2025년도 광주광역시교육청 지방공무원 9급 임용 필기시험 합격자발표 및 면접시험 시행계획.pdf,
광주,교행,2025,1회,공개경쟁,,,사서,사서,9급,일반,3,32,,,19,,,,5,,370,,,,,2025년도 광주광역시교육청 지방공무원 9급 임용 필기시험 합격자발표 및 면접시험 시행계획.pdf,
광주,교행,2025,1회,공개경쟁,,,공업,일반전기,9급,일반,1,6,,,1,,,,,,,,,,,2025년도 광주광역시교육청 지방공무원 9급 임용 필기시험 합격자발표 및 면접시험 시행계획.pdf,
광주,교행,2025,1회,공개경쟁,,,시설,건축,9급,일반,1,13,,,6,,,,3,,315,,,,,2025년도 광주광역시교육청 지방공무원 9급 임용 필기시험 합격자발표 및 면접시험 시행계획.pdf,
광주,교행,2025,1회,경력경쟁,,,운전,운전,9급,일반,1,10,,,6,,,,3,,130,,,,,2025년도 광주광역시교육청 지방공무원 9급 임용 필기시험 합격자발표 및 면접시험 시행계획.pdf,
광주,교행,2025,1회,경력경쟁,,,운전,운전,9급,보훈청추천,1,,,,,,,,,,,,,,,2025년도 광주광역시교육청 지방공무원 9급 임용 필기시험 합격자발표 및 면접시험 시행계획.pdf,
광주,교행,2023,1회,공개경쟁,,,교육행정,교육행정,9급,일반,103,1089,,,801,,,,117,,425,,,,,광주광역시2023년도지방공무원제1회임용필기시험합격자발표및면접시험시행계획공고.pdf,
광주,교행,2023,1회,공개경쟁,,,교육행정,교육행정,9급,장애인,4,27,,,21,,,,6,,365,,,,,광주광역시2023년도지방공무원제1회임용필기시험합격자발표및면접시험시행계획공고.pdf,
광주,교행,2023,1회,공개경쟁,,,교육행정,교육행정,9급,저소득층,3,35,,,26,,,,6,,365,,,,,광주광역시2023년도지방공무원제1회임용필기시험합격자발표및면접시험시행계획공고.pdf,
광주,교행,2023,1회,공개경쟁,,,전산,전산,9급,일반,2,41,,,22,,,,4,,410,,,,,광주광역시2023년도지방공무원제1회임용필기시험합격자발표및면접시험시행계획공고.pdf,
광주,교행,2023,1회,공개경쟁,,,사서,사서,9급,일반,4,54,,,41,,,,7,,450,,,,,광주광역시2023년도지방공무원제1회임용필기시험합격자발표및면접시험시행계획공고.pdf,
광주,교행,2023,1회,공개경쟁,,,시설,일반토목,9급,일반,2,23,,,9,,,,4,,345,,,,,광주광역시2023년도지방공무원제1회임용필기시험합격자발표및면접시험시행계획공고.pdf,
광주,교행,2023,1회,공개경쟁,,,간호,간호,8급,일반,4,124,,,72,,,,6,,455,,,,,광주광역시2023년도지방공무원제1회임용필기시험합격자발표및면접시험시행계획공고.pdf,
광주,교행,2024,1회,공개경쟁,,,교육행정,교육행정,9급,일반,85,1044,,,784,,,,116,,430,,,,,붙임2024년도지방공무원제1회임용필기시험합격자발표및면접시험시행계획공고.hwpx,
광주,교행,2024,1회,공개경쟁,,,교육행정,교육행정,9급,장애인,4,,,,,,,,5,,270,,,,,붙임2024년도지방공무원제1회임용필기시험합격자발표및면접시험시행계획공고.hwpx,
광주,교행,2024,1회,공개경쟁,,,교육행정,교육행정,9급,저소득층,2,,,,,,,,4,,395,,,,,붙임2024년도지방공무원제1회임용필기시험합격자발표및면접시험시행계획공고.hwpx,
광주,교행,2024,1회,공개경쟁,,,전산,전산,9급,일반,3,49,,,22,,,,5,,435,,,,,붙임2024년도지방공무원제1회임용필기시험합격자발표및면접시험시행계획공고.hwpx,
광주,교행,2024,1회,공개경쟁,,,사서,사서,9급,일반,1,27,,,17,,,,3,,435,,,,,붙임2024년도지방공무원제1회임용필기시험합격자발표및면접시험시행계획공고.hwpx,
광주,교행,2024,1회,공개경쟁,,,공업,일반전기,9급,일반,1,6,,,4,,,,3,,360,,,,,붙임2024년도지방공무원제1회임용필기시험합격자발표및면접시험시행계획공고.hwpx,
광주,교행,2024,1회,공개경쟁,,,식품위생,식품위생,9급,일반,1,22,,,9,,,,3,,405,,,,,붙임2024년도지방공무원제1회임용필기시험합격자발표및면접시험시행계획공고.hwpx,
광주,교행,2024,1회,공개경쟁,,,시설,건축,9급,일반,2,15,,,6,,,,4,,285,,,,,붙임2024년도지방공무원제1회임용필기시험합격자발표및면접시험시행계획공고.hwpx,
광주,교행,2024,1회,경력경쟁,,,운전,운전,9급,일반,1,15,,,6,,,,2,,150,,,,,붙임2024년도지방공무원제1회임용필기시험합격자발표및면접시험시행계획공고.hwpx,
광주,교행,2024,1회,경력경쟁,,,운전,운전,9급,보훈청추천,1,,,,,,,,0,,,,,,,붙임2024년도지방공무원제1회임용필기시험합격자발표및면접시험시행계획공고.hwpx,
