지역,시험종류,연도,회차,시험구분,임용예정기관,직군,직렬,직류,직급,대상,선발예정인원,접수인원,접수여성,경쟁률(접수/선발),응시인원,응시여성,응시율,경쟁률(응시/선발),필기합격인원,필기합격여성,합격선,양성평등성별,양성평등합격선,최종합격인원,최종합격여성,원본파일명,비고
서울,교행,2023,1회,공개경쟁,,,교육행정,교육행정,9급,일반,229,3064,,,2087,,,,346,,425,,410,,,2023(공고문) 2023년 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용시험 필기시험 합격자 및 면접시험 시행계획 공고.pdf,만점500
서울,교행,2023,1회,공개경쟁,,,교육행정,교육행정,9급,장애인,27,92,,,66,,,,19,,280,,,,,2023(공고문) 2023년 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용시험 필기시험 합격자 및 면접시험 시행계획 공고.pdf,만점500
서울,교행,2023,1회,공개경쟁,,,교육행정,교육행정,9급,저소득층,5,69,,,32,,,,7,,385,,,,,2023(공고문) 2023년 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용시험 필기시험 합격자 및 면접시험 시행계획 공고.pdf,만점500
서울,교행,2023,1회,공개경쟁,,,전산,전산,9급,일반,4,90,,,36,,,,6,,390,,,,,2023(공고문) 2023년 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용시험 필기시험 합격자 및 면접시험 시행계획 공고.pdf,만점500
서울,교행,2023,1회,공개경쟁,,,전산,전산,9급,저소득층,1,3,,,3,,,,3,,295,,,,,2023(공고문) 2023년 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용시험 필기시험 합격자 및 면접시험 시행계획 공고.pdf,만점500
서울,교행,2023,1회,공개경쟁,,,사서,사서,9급,일반,22,385,,,239,,,,29,,435,,425,,,2023(공고문) 2023년 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용시험 필기시험 합격자 및 면접시험 시행계획 공고.pdf,만점500
서울,교행,2023,1회,공개경쟁,,,사서,사서,9급,장애인,2,4,,,4,,,,0,,,,,,,2023(공고문) 2023년 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용시험 필기시험 합격자 및 면접시험 시행계획 공고.pdf,만점500
서울,교행,2023,1회,공개경쟁,,,사서,사서,9급,저소득층,1,4,,,2,,,,1,,270,,,,,2023(공고문) 2023년 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용시험 필기시험 합격자 및 면접시험 시행계획 공고.pdf,만점500
서울,교행,2023,1회,공개경쟁,,,보건,보건,9급,일반,6,132,,,86,,,,8,,470,,,,,2023(공고문) 2023년 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용시험 필기시험 합격자 및 면접시험 시행계획 공고.pdf,만점500
서울,교행,2023,1회,공개경쟁,,,공업,일반기계,9급,일반,3,32,,,12,,,,5,,395,,,,,2023(공고문) 2023년 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용시험 필기시험 합격자 및 면접시험 시행계획 공고.pdf,만점500
서울,교행,2023,1회,공개경쟁,,,공업,일반전기,9급,일반,9,42,,,30,,,,11,,425,,,,,2023(공고문) 2023년 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용시험 필기시험 합격자 및 면접시험 시행계획 공고.pdf,만점500
서울,교행,2023,1회,공개경쟁,,,시설,일반토목,9급,일반,4,34,,,12,,,,4,,310,,,,,2023(공고문) 2023년 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용시험 필기시험 합격자 및 면접시험 시행계획 공고.pdf,만점500
서울,교행,2023,1회,공개경쟁,,,시설,건축,9급,일반,24,85,,,36,,,,30,,275,,,,,2023(공고문) 2023년 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용시험 필기시험 합격자 및 면접시험 시행계획 공고.pdf,만점500
서울,교행,2023,1회,경력경쟁,,,시설관리,시설관리,9급,일반,37,292,,,182,,,,49,,145,,,,,2023(공고문) 2023년 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용시험 필기시험 합격자 및 면접시험 시행계획 공고.pdf,만점200
서울,교행,2023,1회,경력경쟁,,,시설관리,시설관리,9급,저소득층,5,3,,,2,,,,0,,,,,,,2023(공고문) 2023년 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용시험 필기시험 합격자 및 면접시험 시행계획 공고.pdf,만점200
서울,교행,2023,1회,경력경쟁,,,시설관리,시설관리,9급,보훈청추천,18,10,,,9,,,,4,,130,,,,,2023(공고문) 2023년 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용시험 필기시험 합격자 및 면접시험 시행계획 공고.pdf,만점200
서울,교행,2024,1회,공개경쟁,,,교육행정,교육행정,9급,일반,199,2719,,,1941,,,,336,,435,,420,,,2024[공고 제2024-19호] 2024년도 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용 필기시험 합격자 및 면접시험 시행계획 공고 (1).pdf,만점500
서울,교행,2024,1회,공개경쟁,,,교육행정,교육행정,9급,장애인,27,95,,,74,,,,36,,285,,,,,2024[공고 제2024-19호] 2024년도 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용 필기시험 합격자 및 면접시험 시행계획 공고 (1).pdf,만점500
서울,교행,2024,1회,공개경쟁,,,교육행정,교육행정,9급,저소득층,8,59,,,31,,,,10,,355,,,,,2024[공고 제2024-19호] 2024년도 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용 필기시험 합격자 및 면접시험 시행계획 공고 (1).pdf,만점500
서울,교행,2024,1회,공개경쟁,,,전산,전산,9급,일반,17,209,,,122,,,,29,,440,,,,,2024[공고 제2024-19호] 2024년도 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용 필기시험 합격자 및 면접시험 시행계획 공고 (1).pdf,만점500
서울,교행,2024,1회,공개경쟁,,,전산,전산,9급,저소득층,1,15,,,4,,,,3,,285,,,,,2024[공고 제2024-19호] 2024년도 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용 필기시험 합격자 및 면접시험 시행계획 공고 (1).pdf,만점500
서울,교행,2024,1회,공개경쟁,,,사서,사서,9급,일반,23,380,,,256,,,,31,,435,,425,,,2024[공고 제2024-19호] 2024년도 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용 필기시험 합격자 및 면접시험 시행계획 공고 (1).pdf,만점500
서울,교행,2024,1회,공개경쟁,,,사서,사서,9급,장애인,3,5,,,4,,,,0,,,,,,,2024[공고 제2024-19호] 2024년도 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용 필기시험 합격자 및 면접시험 시행계획 공고 (1).pdf,만점500
서울,교행,2024,1회,공개경쟁,,,사서,사서,9급,저소득층,1,6,,,5,,,,2,,300,,,,,2024[공고 제2024-19호] 2024년도 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용 필기시험 합격자 및 면접시험 시행계획 공고 (1).pdf,만점500
서울,교행,2024,1회,공개경쟁,,,보건,보건,9급,일반,18,,,,,,,,26,,455,,440,,,2024[공고 제2024-19호] 2024년도 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용 필기시험 합격자 및 면접시험 시행계획 공고 (1).pdf,만점500
서울,교행,2024,1회,공개경쟁,,,공업,일반기계,9급,일반,2,,,,,,,,4,,370,,,,,2024[공고 제2024-19호] 2024년도 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용 필기시험 합격자 및 면접시험 시행계획 공고 (1).pdf,만점500
서울,교행,2024,1회,공개경쟁,,,공업,일반전기,9급,일반,2,,,,,,,,4,,345,,,,,2024[공고 제2024-19호] 2024년도 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용 필기시험 합격자 및 면접시험 시행계획 공고 (1).pdf,만점500
