지역,시험종류,연도,회차,시험구분,임용예정기관,직군,직렬,직류,직급,대상,선발예정인원,접수인원,접수여성,경쟁률(접수/선발),응시인원,응시여성,응시율,경쟁률(응시/선발),필기합격인원,필기합격여성,합격선,양성평등성별,양성평등합격선,최종합격인원,최종합격여성,원본파일명,비고
울산,교행,,2회,경력경쟁,,,수의,수의,7급,일반,3,,,,,,,,3,,86.67,,,,,(붙임) 합격선.pdf,
울산,교행,,2회,공개경쟁,,,운전,운전,9급,일반,6,,,,,,,,7,,80.00,,,,,(붙임) 합격선.pdf,
울산,교행,,2회,공개경쟁,,,운전,운전,9급,보훈청추천,1,,,,,,,,1,,80.00,,,,,(붙임) 합격선.pdf,
충북,교행,2025,2회,공개경쟁,,,교육행정,교육행정,9급,일반,68,,,,,,,,86,,435,,,,,2025년 충북교육청 지방공무원 임용시험 필기합격자 발표 및 면접시험 계획 공고.pdf,평균87
충북,교행,2025,2회,공개경쟁,,,교육행정,교육행정,9급,장애인,14,,,,,,,,3,,280,,,,,2025년 충북교육청 지방공무원 임용시험 필기합격자 발표 및 면접시험 계획 공고.pdf,평균56
충북,교행,2025,2회,공개경쟁,,,전산,전산,9급,일반,7,,,,,,,,8,,435,,,,,2025년 충북교육청 지방공무원 임용시험 필기합격자 발표 및 면접시험 계획 공고.pdf,평균87
충북,교행,2025,2회,공개경쟁,,,사서,사서,9급,일반,8,,,,,,,,11,,355,,,,,2025년 충북교육청 지방공무원 임용시험 필기합격자 발표 및 면접시험 계획 공고.pdf,평균71
충북,교행,2025,2회,공개경쟁,,,식품위생,식품위생,9급,일반,2,,,,,,,,3,,375,,,,,2025년 충북교육청 지방공무원 임용시험 필기합격자 발표 및 면접시험 계획 공고.pdf,평균75
충북,교행,2025,2회,경력경쟁,,,시설관리,시설관리,9급,일반,32,,,,,,,,36,,165,,,,,2025년 충북교육청 지방공무원 임용시험 필기합격자 발표 및 면접시험 계획 공고.pdf,평균82.5
충북,교행,2025,2회,경력경쟁,,,운전,운전,9급,일반,11,,,,,,,,12,,125,,,,,2025년 충북교육청 지방공무원 임용시험 필기합격자 발표 및 면접시험 계획 공고.pdf,평균62.5
충북,교행,2025,2회,경력경쟁,,,운전,운전,9급,일반,156,,,,,,,,159,,,,,,,2025년 충북교육청 지방공무원 임용시험 필기합격자 발표 및 면접시험 계획 공고.pdf,
전북,교행,1764,2회,공개경쟁,,,시설,건축,9급,기술계고,1,,,,,,,,2,,229.00,,,,,1764210795-2025년도_제2회_전북특별자치도교육청_지방공무원_임용_필기시험_합격자_발표_및_면접시험_시행_계획_공고.pdf,평균76.33
