지역,시험종류,연도,회차,시험구분,임용예정기관,직군,직렬,직류,직급,대상,선발예정인원,접수인원,접수여성,경쟁률(접수/선발),응시인원,응시여성,응시율,경쟁률(응시/선발),필기합격인원,필기합격여성,합격선,양성평등성별,양성평등합격선,최종합격인원,최종합격여성,원본파일명,비고
대전,교행,2024,1회,공개경쟁,,,교육행정,교육행정,9급,일반,52,,,,,,,,73,,440,,450,,,2024년도제1회대전광역시교육청지방공무원임용필기시험합격자발표및면접시험시행계획공고.hwp,
대전,교행,2024,1회,공개경쟁,,,교육행정,교육행정,9급,장애인,4,,,,,,,,4,,310,,,,,2024년도제1회대전광역시교육청지방공무원임용필기시험합격자발표및면접시험시행계획공고.hwp,
대전,교행,2024,1회,공개경쟁,,,교육행정,교육행정,9급,저소득층,2,,,,,,,,4,,420,,,,,2024년도제1회대전광역시교육청지방공무원임용필기시험합격자발표및면접시험시행계획공고.hwp,
대전,교행,2024,1회,공개경쟁,,,전산,전산,9급,일반,3,,,,,,,,5,,440,,,,,2024년도제1회대전광역시교육청지방공무원임용필기시험합격자발표및면접시험시행계획공고.hwp,
대전,교행,2024,1회,공개경쟁,,,사서,사서,9급,일반,3,,,,,,,,5,,380,,,,,2024년도제1회대전광역시교육청지방공무원임용필기시험합격자발표및면접시험시행계획공고.hwp,
대전,교행,2024,1회,경력경쟁,,,시설관리,시설관리,9급,일반,15,,,,,,,,20,,165,,,,,2024년도제1회대전광역시교육청지방공무원임용필기시험합격자발표및면접시험시행계획공고.hwp,
대전,교행,2024,1회,경력경쟁,,,시설관리,시설관리,9급,국가유공자,4,,,,,,,,3,,135,,,,,2024년도제1회대전광역시교육청지방공무원임용필기시험합격자발표및면접시험시행계획공고.hwp,
대전,교행,2024,1회,경력경쟁,,,운전,운전,9급,일반,2,,,,,,,,4,,165,,,,,2024년도제1회대전광역시교육청지방공무원임용필기시험합격자발표및면접시험시행계획공고.hwp,
대전,교행,2025,1회,공개경쟁,,,교육행정,교육행정,9급,일반,42,,,,,,,,55,,460,,450,,,공고문+2025년도+제1회+대전광역시교육청+지방공무원+임용+필기시험합격자+발표+및+면접시험.pdf,
대전,교행,2025,1회,공개경쟁,,,교육행정,교육행정,9급,장애인,3,,,,,,,,5,,295,,,,,공고문+2025년도+제1회+대전광역시교육청+지방공무원+임용+필기시험합격자+발표+및+면접시험.pdf,
대전,교행,2025,1회,공개경쟁,,,교육행정,교육행정,9급,저소득층,2,,,,,,,,4,,400,,,,,공고문+2025년도+제1회+대전광역시교육청+지방공무원+임용+필기시험합격자+발표+및+면접시험.pdf,
대전,교행,2025,1회,공개경쟁,,,전산,전산,9급,일반,2,,,,,,,,4,,445,,,,,공고문+2025년도+제1회+대전광역시교육청+지방공무원+임용+필기시험합격자+발표+및+면접시험.pdf,
