직렬,직류,시험구분,2023선발,2024선발,2025선발,2026선발
감사,감사,공개경쟁,60,60,40,18
검찰,검찰,공개경쟁,20,22,22,10
공업,일반기계,공개경쟁,46,36,100,14
공업,전기,공개경쟁,30,32,74,9
공업,화공,공개경쟁,20,20,64,21
관세,관세,공개경쟁,30,32,32,36
교정,교정,공개경쟁,80,68,80,35
농업,일반농업,공개경쟁,12,12,16,5
방송통신,전송기술,공개경쟁,36,42,34,12
방재안전,방재안전,공개경쟁,14,16,10,5
보호,보호,공개경쟁,10,8,8,3
세무,세무,공개경쟁,178,170,116,34
시설,건축,공개경쟁,34,32,87,28
시설,일반토목,공개경쟁,82,60,123,18
외무영사,외무영사,공개경쟁,60,50,60,25
임업,산림자원,공개경쟁,12,14,14,5
전산,데이터,공개경쟁,34,32,18,15
전산,전산개발,공개경쟁,82,76,66,27
출입국관리,출입국관리,공개경쟁,4,12,12,6
통계,통계,공개경쟁,16,12,16,5
행정,고용노동,공개경쟁,40,26,124,100
행정,교육행정,공개경쟁,6,10,12,2
행정,법무행정,공개경쟁,0,0,22,11
행정,선거행정,공개경쟁,40,34,34,12
행정,우정사업본부,공개경쟁,42,32,32,5
행정,인사조직,공개경쟁,8,6,4,1
행정,일반행정,공개경쟁,0,190,338,0
행정,일반행정 전국,공개경쟁,416,190,100,197
행정,재경,공개경쟁,22,12,6,1
행정,회계,공개경쟁,6,2,0,0
환경,일반환경,공개경쟁,0,0,26,8
