지역,시험종류,연도,회차,시험구분,임용예정기관,직군,직렬,직류,직급,대상,선발예정인원,접수인원,경쟁률(접수/선발),응시인원,응시율(%),경쟁률(응시/선발),필기합격인원,합격선,합격선기준,양성평등합격선,원본파일명,비고
국가직,공무원,2023,,공개경쟁,,행정직군,행정,일반행정 전국,9급,일반,411,30206,73.5:1,23349,77.3,56.8:1,603,89.00,과목평균,,2023년도 국가공무원 9급 공개경쟁채용 필기시험 합격선 (1).pdf,
국가직,공무원,2023,,공개경쟁,서울·인천·경기,행정직군,행정,일반행정 지역,9급,일반,5,1752,350.4:1,1205,68.8,241.0:1,6,91.00,과목평균,,2023년도 국가공무원 9급 공개경쟁채용 필기시험 합격선 (1).pdf,
국가직,공무원,2023,,공개경쟁,강원,행정직군,행정,일반행정 지역,9급,일반,22,896,40.7:1,741,82.7,33.7:1,29,88.00,과목평균,,2023년도 국가공무원 9급 공개경쟁채용 필기시험 합격선 (1).pdf,
국가직,공무원,2023,,공개경쟁,대전·세종·충남·충북,행정직군,행정,일반행정 지역,9급,일반,46,1826,39.7:1,1493,81.8,32.5:1,55,88.00,과목평균,,2023년도 국가공무원 9급 공개경쟁채용 필기시험 합격선 (1).pdf,
국가직,공무원,2023,,공개경쟁,광주·전남,행정직군,행정,일반행정 지역,9급,일반,33,1537,46.6:1,1214,79.0,36.8:1,40,89.00,과목평균,,2023년도 국가공무원 9급 공개경쟁채용 필기시험 합격선 (1).pdf,
국가직,공무원,2023,,공개경쟁,전북,행정직군,행정,일반행정 지역,9급,일반,19,998,52.5:1,850,85.2,44.7:1,24,88.00,과목평균,,2023년도 국가공무원 9급 공개경쟁채용 필기시험 합격선 (1).pdf,
국가직,공무원,2023,,공개경쟁,대구·경북,행정직군,행정,일반행정 지역,9급,일반,28,1623,58.0:1,1290,79.5,46.1:1,39,88.00,과목평균,,2023년도 국가공무원 9급 공개경쟁채용 필기시험 합격선 (1).pdf,
국가직,공무원,2023,,공개경쟁,부산,행정직군,행정,일반행정 지역,9급,일반,8,637,79.6:1,513,80.5,64.1:1,10,88.00,과목평균,,2023년도 국가공무원 9급 공개경쟁채용 필기시험 합격선 (1).pdf,
국가직,공무원,2023,,공개경쟁,울산·경남,행정직군,행정,일반행정 지역,9급,일반,24,1186,49.4:1,970,81.8,40.4:1,34,88.00,과목평균,,2023년도 국가공무원 9급 공개경쟁채용 필기시험 합격선 (1).pdf,
국가직,공무원,2023,,공개경쟁,제주,행정직군,행정,일반행정 지역,9급,일반,7,247,35.3:1,193,78.1,27.6:1,10,89.00,과목평균,,2023년도 국가공무원 9급 공개경쟁채용 필기시험 합격선 (1).pdf,
국가직,공무원,2023,,공개경쟁,서울,행정직군,행정,우정사업본부 지역,9급,일반,94,1684,17.9:1,1330,79.0,14.1:1,123,87.00,과목평균,,2023년도 국가공무원 9급 공개경쟁채용 필기시험 합격선 (1).pdf,
국가직,공무원,2023,,공개경쟁,인천·경기,행정직군,행정,우정사업본부 지역,9급,일반,131,2076,15.8:1,1687,81.3,12.9:1,192,85.00,과목평균,,2023년도 국가공무원 9급 공개경쟁채용 필기시험 합격선 (1).pdf,
국가직,공무원,2023,,공개경쟁,강원,행정직군,행정,우정사업본부 지역,9급,일반,27,385,14.3:1,303,78.7,11.2:1,43,81.00,과목평균,,2023년도 국가공무원 9급 공개경쟁채용 필기시험 합격선 (1).pdf,
국가직,공무원,2023,,공개경쟁,대전·세종·충남·충북,행정직군,행정,우정사업본부 지역,9급,일반,117,1550,13.2:1,1318,85.0,11.3:1,165,83.00,과목평균,,2023년도 국가공무원 9급 공개경쟁채용 필기시험 합격선 (1).pdf,
국가직,공무원,2023,,공개경쟁,광주·전남,행정직군,행정,우정사업본부 지역,9급,일반,58,997,17.2:1,831,83.4,14.3:1,83,84.00,과목평균,82.00,2023년도 국가공무원 9급 공개경쟁채용 필기시험 합격선 (1).pdf,
국가직,공무원,2023,,공개경쟁,전북,행정직군,행정,우정사업본부 지역,9급,일반,42,664,15.8:1,546,82.2,13.0:1,59,82.00,과목평균,,2023년도 국가공무원 9급 공개경쟁채용 필기시험 합격선 (1).pdf,
국가직,공무원,2023,,공개경쟁,대구·경북,행정직군,행정,우정사업본부 지역,9급,일반,82,1459,17.8:1,1241,85.1,15.1:1,123,85.00,과목평균,,2023년도 국가공무원 9급 공개경쟁채용 필기시험 합격선 (1).pdf,
국가직,공무원,2023,,공개경쟁,부산·울산,행정직군,행정,우정사업본부 지역,9급,일반,32,727,22.7:1,604,83.1,18.9:1,44,87.00,과목평균,85.00,2023년도 국가공무원 9급 공개경쟁채용 필기시험 합격선 (1).pdf,
국가직,공무원,2023,,공개경쟁,경남,행정직군,행정,우정사업본부 지역,9급,일반,82,995,12.1:1,828,83.2,10.1:1,107,84.00,과목평균,,2023년도 국가공무원 9급 공개경쟁채용 필기시험 합격선 (1).pdf,
국가직,공무원,2023,,공개경쟁,제주,행정직군,행정,우정사업본부 지역,9급,일반,7,77,11.0:1,68,88.3,9.7:1,11,85.00,과목평균,83.00,2023년도 국가공무원 9급 공개경쟁채용 필기시험 합격선 (1).pdf,
국가직,공무원,2023,,공개경쟁,,행정직군,행정,경찰청,9급,일반,407,7531,18.5:1,6017,79.9,14.8:1,499,87.00,과목평균,86.00,2023년도 국가공무원 9급 공개경쟁채용 필기시험 합격선 (1).pdf,
국가직,공무원,2023,,공개경쟁,,행정직군,행정,고용노동,9급,일반,101,1930,19.1:1,1463,75.8,14.5:1,149,88.00,과목평균,87.00,2023년도 국가공무원 9급 공개경쟁채용 필기시험 합격선 (1).pdf,
국가직,공무원,2023,,공개경쟁,,행정직군,행정,교육행정,9급,일반,62,12177,196.4:1,10008,82.2,161.4:1,85,96.00,과목평균,94.00,2023년도 국가공무원 9급 공개경쟁채용 필기시험 합격선 (1).pdf,
국가직,공무원,2023,,공개경쟁,,행정직군,행정,선거행정,9급,일반,72,1051,14.6:1,773,73.5,10.7:1,97,86.00,과목평균,,2023년도 국가공무원 9급 공개경쟁채용 필기시험 합격선 (1).pdf,
국가직,공무원,2023,,공개경쟁,,행정직군,직업상담,직업상담,9급,일반,22,941,42.8:1,692,73.5,31.5:1,31,90.00,과목평균,,2023년도 국가공무원 9급 공개경쟁채용 필기시험 합격선 (1).pdf,
