지역,시험종류,연도,회차,시험구분,임용예정기관,직군,직렬,직류,직급,대상,선발예정인원,접수인원,접수여성,경쟁률(접수/선발),응시인원,응시여성,응시율,경쟁률(응시/선발),필기합격인원,필기합격여성,합격선,양성평등성별,양성평등합격선,최종합격인원,최종합격여성,원본파일명,비고
대구,공무원,2023,3회,공개경쟁,,,행정,일반행정,,일반,12,1338,,,777,,,,16,,94,,,,,2023(붙임2) 합격선(제3회 지방공무원 임용 필기시험) (1).hwp,
대구,공무원,2023,3회,경력경쟁,,,운전,운전,,일반,13,508,,,302,,,,25,,87.5,,,,,2023(붙임2) 합격선(제3회 지방공무원 임용 필기시험) (1).hwp,
대구,공무원,2023,3회,경력경쟁,,,운전,운전,,보훈청추천,3,15,,,9,,,,5,,75,,,,,2023(붙임2) 합격선(제3회 지방공무원 임용 필기시험) (1).hwp,
대구,공무원,2023,3회,경력경쟁,,,농촌지도,농업,지도사,일반,2,97,,,59,,,,4,,76.66,,,,,2023(붙임2) 합격선(제3회 지방공무원 임용 필기시험) (1).hwp,
대구,공무원,2023,3회,경력경쟁,,,공업,일반기계,,기술계고졸,1,5,,,2,,,,2,,86.33,,,,,2023(붙임2) 합격선(제3회 지방공무원 임용 필기시험) (1).hwp,
대구,공무원,2023,3회,경력경쟁,,,공업,일반전기,,일반,2,5,,,3,,,,3,,74.66,,,,,2023(붙임2) 합격선(제3회 지방공무원 임용 필기시험) (1).hwp,
대구,공무원,2023,3회,경력경쟁,,,농업,일반농업,,일반,1,1,,,1,,,,1,,86.66,,,,,2023(붙임2) 합격선(제3회 지방공무원 임용 필기시험) (1).hwp,
대구,공무원,2023,3회,경력경쟁,,,시설,일반토목,,일반,1,5,,,3,,,,2,,88,,,,,2023(붙임2) 합격선(제3회 지방공무원 임용 필기시험) (1).hwp,
대구,공무원,2023,2회,공개경쟁,,,행정,일반행정,,일반,220,4197,,,3086,,,,259,,90,,,,,2023(붙임3) 합격선(제2회 지방공무원 임용 필기시험).hwp,
대구,공무원,2023,2회,공개경쟁,,,행정,일반행정,,저소득층,8,109,,,72,,,,9,,85,,,,,2023(붙임3) 합격선(제2회 지방공무원 임용 필기시험).hwp,
대구,공무원,2023,2회,공개경쟁,,,행정,일반행정,,장애인,14,119,,,89,,,,16,,52,,,,,2023(붙임3) 합격선(제2회 지방공무원 임용 필기시험).hwp,
대구,공무원,2023,2회,공개경쟁,,,세무,지방세,,일반,10,492,,,345,,,,15,,84,,,,,2023(붙임3) 합격선(제2회 지방공무원 임용 필기시험).hwp,
대구,공무원,2023,2회,공개경쟁,,,전산,전산,,일반,11,186,,,116,,,,15,,79,,,,,2023(붙임3) 합격선(제2회 지방공무원 임용 필기시험).hwp,
