지역,시험종류,연도,회차,시험구분,임용예정기관,직군,직렬,직류,직급,대상,선발예정인원,접수인원,접수여성,경쟁률(접수/선발),응시인원,응시여성,응시율,경쟁률(응시/선발),필기합격인원,필기합격여성,합격선,양성평등성별,양성평등합격선,최종합격인원,최종합격여성,원본파일명,비고
부산,공무원,2024,1회,공개경쟁,,행정직군,행정,일반행정,9급,일반,222,4560,,,3482,,,,236,,88.00,,,,,2024년도 제1회 부산광역시 지방공무원 임용 필기시험 합격선(게시).hwp,
부산,공무원,2024,1회,공개경쟁,,행정직군,행정,일반행정,9급,장애인,25,108,,,82,,,,9,,52.00,,,,,2024년도 제1회 부산광역시 지방공무원 임용 필기시험 합격선(게시).hwp,
부산,공무원,2024,1회,공개경쟁,,행정직군,행정,일반행정,9급,저소득층,8,118,,,82,,,,12,,82.00,,,,,2024년도 제1회 부산광역시 지방공무원 임용 필기시험 합격선(게시).hwp,
부산,공무원,2024,1회,공개경쟁,,행정직군,세무,지방세,9급,일반,15,655,,,435,,,,20,,86.00,,,,,2024년도 제1회 부산광역시 지방공무원 임용 필기시험 합격선(게시).hwp,
부산,공무원,2024,1회,공개경쟁,,행정직군,세무,지방세,9급,장애인,1,8,,,4,,,,,,,,,,,2024년도 제1회 부산광역시 지방공무원 임용 필기시험 합격선(게시).hwp,
부산,공무원,2024,1회,공개경쟁,,행정직군,전산,전산,9급,일반,3,200,,,121,,,,4,,90.00,,,,,2024년도 제1회 부산광역시 지방공무원 임용 필기시험 합격선(게시).hwp,
부산,공무원,2024,1회,공개경쟁,,행정직군,사회복지,사회복지,9급,일반,18,764,,,590,,,,24,,88.00,,,,,2024년도 제1회 부산광역시 지방공무원 임용 필기시험 합격선(게시).hwp,
부산,공무원,2024,1회,공개경쟁,,행정직군,사회복지,사회복지,9급,장애인,2,29,,,23,,,,1,,61.00,,,,,2024년도 제1회 부산광역시 지방공무원 임용 필기시험 합격선(게시).hwp,
부산,공무원,2024,1회,공개경쟁,,행정직군,사서,사서,9급,일반,8,228,,,157,,,,10,,87.00,,,,,2024년도 제1회 부산광역시 지방공무원 임용 필기시험 합격선(게시).hwp,
부산,공무원,2024,1회,공개경쟁,,행정직군,사서,사서,9급,장애인,1,3,,,2,,,,,,,,,,,2024년도 제1회 부산광역시 지방공무원 임용 필기시험 합격선(게시).hwp,
부산,공무원,2024,1회,공개경쟁,,행정직군,속기,속기,9급,일반,2,13,,,10,,,,4,,73.00,,,,,2024년도 제1회 부산광역시 지방공무원 임용 필기시험 합격선(게시).hwp,
부산,공무원,2024,1회,공개경쟁,,기술직군,공업,일반기계,9급,일반,26,166,,,112,,,,31,,83.00,,,,,2024년도 제1회 부산광역시 지방공무원 임용 필기시험 합격선(게시).hwp,
부산,공무원,2024,1회,공개경쟁,,기술직군,공업,일반기계,9급,장애인,2,3,,,2,,,,1,,82.00,,,,,2024년도 제1회 부산광역시 지방공무원 임용 필기시험 합격선(게시).hwp,
부산,공무원,2024,1회,공개경쟁,,기술직군,공업,일반전기,9급,일반,13,151,,,93,,,,17,,79.00,,,,,2024년도 제1회 부산광역시 지방공무원 임용 필기시험 합격선(게시).hwp,
부산,공무원,2024,1회,공개경쟁,,기술직군,공업,일반전기,9급,장애인,1,2,,,1,,,,,,,,,,,2024년도 제1회 부산광역시 지방공무원 임용 필기시험 합격선(게시).hwp,
부산,공무원,2024,1회,공개경쟁,,기술직군,공업,일반화공,9급,일반,12,73,,,58,,,,14,,83.00,,,,,2024년도 제1회 부산광역시 지방공무원 임용 필기시험 합격선(게시).hwp,
