지역,시험종류,연도,회차,시험구분,임용예정기관,직군,직렬,직류,직급,대상,선발예정인원,접수인원,접수여성,경쟁률(접수/선발),응시인원,응시여성,응시율,경쟁률(응시/선발),필기합격인원,필기합격여성,합격선,양성평등성별,양성평등합격선,최종합격인원,최종합격여성,원본파일명,비고
부산,공무원,2023,2회,공개경쟁,,행정직군,행정,일반행정,7급,일반,7,1539,,,830,,,,12,,95.00,,,,,2023년도 제2회 부산광역시 지방공무원 임용 필기시험 합격선(게시).pdf,
부산,공무원,2023,2회,경력경쟁,,기술직군,수의,수의,7급,일반,6,5,,,4,,,,4,,63.33,,,,,2023년도 제2회 부산광역시 지방공무원 임용 필기시험 합격선(게시).pdf,직급확인
부산,공무원,2023,2회,경력경쟁,,기술직군,약무,약무,9급,일반,2,10,,,5,,,,4,,70.00,,,,,2023년도 제2회 부산광역시 지방공무원 임용 필기시험 합격선(게시).pdf,직급확인
부산,공무원,2023,2회,경력경쟁,,기술직군,운전,운전,9급,일반,6,114,,,67,,,,8,,87.50,,,,,2023년도 제2회 부산광역시 지방공무원 임용 필기시험 합격선(게시).pdf,직급확인
부산,공무원,2023,2회,경력경쟁,,기술계고졸,공업,일반기계,9급,일반,1,7,,,4,,,,2,,61.33,,,,,2023년도 제2회 부산광역시 지방공무원 임용 필기시험 합격선(게시).pdf,
부산,공무원,2023,2회,경력경쟁,,기술계고졸,공업,일반전기,9급,일반,2,10,,,8,,,,4,,86.33,,,,,2023년도 제2회 부산광역시 지방공무원 임용 필기시험 합격선(게시).pdf,
부산,공무원,2023,2회,경력경쟁,,기술계고졸,보건,보건,9급,일반,1,3,,,3,,,,2,,60.00,,,,,2023년도 제2회 부산광역시 지방공무원 임용 필기시험 합격선(게시).pdf,
부산,공무원,2023,2회,경력경쟁,,기술계고졸,시설,일반토목,9급,일반,3,5,,,3,,,,1,,101.33,,,,,2023년도 제2회 부산광역시 지방공무원 임용 필기시험 합격선(게시).pdf,
부산,공무원,2023,2회,경력경쟁,,기술계고졸,시설,건축,9급,일반,3,4,,,3,,,,2,,78.00,,,,,2023년도 제2회 부산광역시 지방공무원 임용 필기시험 합격선(게시).pdf,
부산,공무원,2023,2회,경력경쟁,,연구직,보건연구,공중보건,연구사,일반,1,66,,,50,,,,3,,86.33,,,,,2023년도 제2회 부산광역시 지방공무원 임용 필기시험 합격선(게시).pdf,
부산,공무원,2023,2회,경력경쟁,,연구직,환경연구,환경,연구사,대기,3,49,,,32,,,,4,,68.33,,,,,2023년도 제2회 부산광역시 지방공무원 임용 필기시험 합격선(게시).pdf,
부산,공무원,2023,2회,경력경쟁,,연구직,환경연구,환경,연구사,수질,2,34,,,22,,,,4,,60.00,,,,,2023년도 제2회 부산광역시 지방공무원 임용 필기시험 합격선(게시).pdf,
부산,공무원,2024,2회,공개경쟁,,행정직군,행정,일반행정,7급,일반,5,585,,,10,,,,94.00,,,,,,,2024년도 제2회 부산광역시 지방공무원 임용 필기시험 합격선(게시).pdf,
부산,공무원,2024,2회,경력경쟁,,기술직군,수의,수의,7급,일반,6,3,,,2,,,,60.00,,,,,,,2024년도 제2회 부산광역시 지방공무원 임용 필기시험 합격선(게시).pdf,
부산,공무원,2024,2회,경력경쟁,,기술직군,운전,운전,9급,일반,8,66,,,9,,,,77.50,,,,,,,2024년도 제2회 부산광역시 지방공무원 임용 필기시험 합격선(게시).pdf,
부산,공무원,2024,2회,경력경쟁,,기술계고졸,공업,일반기계,9급,일반,2,0,,,0,,,,,,,,,,,2024년도 제2회 부산광역시 지방공무원 임용 필기시험 합격선(게시).pdf,
부산,공무원,2024,2회,경력경쟁,,기술계고졸,공업,일반전기,9급,일반,1,2,,,2,,,,81.33,,,,,,,2024년도 제2회 부산광역시 지방공무원 임용 필기시험 합격선(게시).pdf,
부산,공무원,2024,2회,경력경쟁,,기술계고졸,시설,일반토목,9급,일반,3,7,,,4,,,,61.33,,,,,,,2024년도 제2회 부산광역시 지방공무원 임용 필기시험 합격선(게시).pdf,
부산,공무원,2024,2회,경력경쟁,,기술계고졸,시설,건축,9급,일반,2,6,,,3,,,,81.33,,,,,,,2024년도 제2회 부산광역시 지방공무원 임용 필기시험 합격선(게시).pdf,
부산,공무원,2024,2회,경력경쟁,,연구직,학예연구,학예일반,연구사,고고학,1,32,,,3,,,,73.33,,,,,,,2024년도 제2회 부산광역시 지방공무원 임용 필기시험 합격선(게시).pdf,
부산,공무원,2024,2회,경력경쟁,,연구직,보건연구,공중보건,연구사,일반,3,64,,,4,,,,85.00,,,,,,,2024년도 제2회 부산광역시 지방공무원 임용 필기시험 합격선(게시).pdf,
부산,공무원,2024,2회,경력경쟁,,연구직,환경연구,환경,연구사,대기,3,26,,,2,,,,63.33,,,,,,,2024년도 제2회 부산광역시 지방공무원 임용 필기시험 합격선(게시).pdf,
부산,공무원,2024,2회,경력경쟁,,연구직,환경연구,환경,연구사,수질,4,32,,,5,,,,68.33,,,,,,,2024년도 제2회 부산광역시 지방공무원 임용 필기시험 합격선(게시).pdf,
