지역,시험종류,연도,회차,시험구분,임용예정기관,직군,직렬,직류,직급,대상,선발예정인원,접수인원,접수여성,경쟁률(접수/선발),응시인원,응시여성,응시율,경쟁률(응시/선발),필기합격인원,필기합격여성,합격선,양성평등성별,양성평등합격선,최종합격인원,최종합격여성,원본파일명,비고
강원,공무원,2024,1회,공개경쟁,춘천시,,간호,간호,8급,일반,1,,,,,,,,2,,94,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,강릉시,,간호,간호,8급,일반,4,,,,,,,,7,,88,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,속초시,,간호,간호,8급,일반,5,,,,,,,,6,,76,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,삼척시,,간호,간호,8급,일반,3,,,,,,,,4,,80,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,횡성군,,간호,간호,8급,일반,2,,,,,,,,3,,84,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,평창군,,간호,간호,8급,일반,2,,,,,,,,3,,77,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,정선군,,간호,간호,8급,일반,1,,,,,,,,2,,65,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,고성군,,간호,간호,8급,일반,3,,,,,,,,4,,68,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,양양군,,간호,간호,8급,일반,1,,,,,,,,2,,80,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,강원특별자치도,,간호,간호,8급,일반,1,,,,,,,,2,,91,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,춘천시,,보건진료,보건진료,8급,일반,1,,,,,,,,2,,92,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,삼척시,,보건진료,보건진료,8급,일반,1,,,,,,,,0,,0,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,홍천군,,보건진료,보건진료,8급,일반,2,,,,,,,,5,,90,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,횡성군,,보건진료,보건진료,8급,일반,2,,,,,,,,3,,90,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,영월군,,보건진료,보건진료,8급,일반,1,,,,,,,,2,,80,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,평창군,,보건진료,보건진료,8급,일반,2,,,,,,,,3,,78,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,고성군,,보건진료,보건진료,8급,일반,2,,,,,,,,3,,78,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,춘천시,,행정,일반행정,9급,일반,27,,,,,,,,32,,87,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,원주시,,행정,일반행정,9급,일반,31,,,,,,,,42,,83,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,강릉시,,행정,일반행정,9급,일반,30,,,,,,,,36,,84,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,동해시,,행정,일반행정,9급,일반,16,,,,,,,,21,,74,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,태백시,,행정,일반행정,9급,일반,25,,,,,,,,25,,56,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,속초시,,행정,일반행정,9급,일반,9,,,,,,,,12,,79,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,삼척시,,행정,일반행정,9급,일반,21,,,,,,,,26,,76,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,홍천군,,행정,일반행정,9급,일반,7,,,,,,,,8,,82,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,횡성군,,행정,일반행정,9급,일반,10,,,,,,,,14,,73,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,영월군,,행정,일반행정,9급,일반,14,,,,,,,,17,,65,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,평창군,,행정,일반행정,9급,일반,7,,,,,,,,8,,74,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,정선군,,행정,일반행정,9급,일반,10,,,,,,,,12,,70,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,철원군,,행정,일반행정,9급,일반,7,,,,,,,,8,,79,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,화천군,,행정,일반행정,9급,일반,8,,,,,,,,11,,73,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,양구군,,행정,일반행정,9급,일반,20,,,,,,,,24,,55,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,임용기관,,행정,일반행정,9급,일반,선발예정인원,,,,,,,,필기합격인원,,합격선(가산포함평균),,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,인제군,,행정,일반행정,9급,일반,10,,,,,,,,13,,73,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,고성군,,행정,일반행정,9급,일반,10,,,,,,,,14,,62,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,양양군,,행정,일반행정,9급,일반,7,,,,,,,,9,,72,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,강원특별자치도,,행정,일반행정,9급,일반,8,,,,,,,,12,,86,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,강원특별자치도의회,,행정,일반행정,9급,일반,3,,,,,,,,4,,87,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,동해시의회,,행정,일반행정,9급,일반,1,,,,,,,,2,,78,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,삼척시의회,,행정,일반행정,9급,일반,3,,,,,,,,1,,82,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,홍천군의회,,행정,일반행정,9급,일반,1,,,,,,,,3,,64,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,영월군의회,,행정,일반행정,9급,일반,2,,,,,,,,3,,61,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,평창군의회,,행정,일반행정,9급,일반,1,,,,,,,,2,,67,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,정선군의회,,행정,일반행정,9급,일반,1,,,,,,,,2,,56,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,고성군의회,,행정,일반행정,9급,일반,3,,,,,,,,3,,56,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,춘천시,,행정,일반행정:장애인,9급,일반,6,,,,,,,,2,,54,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,원주시,,행정,일반행정:장애인,9급,일반,3,,,,,,,,0,,0,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,강릉시,,행정,일반행정:장애인,9급,일반,2,,,,,,,,1,,83,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,동해시,,행정,일반행정:장애인,9급,일반,1,,,,,,,,0,,0,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,태백시,,행정,일반행정:장애인,9급,일반,1,,,,,,,,0,,0,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,속초시,,행정,일반행정:장애인,9급,일반,1,,,,,,,,0,,0,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,삼척시,,행정,일반행정:장애인,9급,일반,4,,,,,,,,0,,0,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,홍천군,,행정,일반행정:장애인,9급,일반,2,,,,,,,,0,,0,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,횡성군,,행정,일반행정:장애인,9급,일반,5,,,,,,,,0,,0,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,영월군,,행정,일반행정:장애인,9급,일반,3,,,,,,,,0,,0,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
강원,공무원,2024,1회,공개경쟁,평창군,,행정,일반행정:장애인,9급,일반,1,,,,,,,,0,,0,,,,,[붙임2]+2024년도+제1회+공무원+임용+필기시험+합격선공고.pdf,
