지역,시험종류,연도,회차,시험구분,임용예정기관,직군,직렬,직류,직급,대상,선발예정인원,접수인원,접수여성,경쟁률(접수/선발),응시인원,응시여성,응시율,경쟁률(응시/선발),필기합격인원,필기합격여성,합격선,양성평등성별,양성평등합격선,최종합격인원,최종합격여성,원본파일명,비고
울산,공무원,,1회,공개경쟁,,,,,9급,계(14개직렬/19개직류),173,,,,,,,,212,,,,,,,1-1.+필기시험+합격선게시용.pdf,
울산,공무원,,1회,공개경쟁,,,행정,일반행정,9급,일반,73,,,,,,,,87,,87.00,,85.00,,,1-1.+필기시험+합격선게시용.pdf,
울산,공무원,,1회,경력경쟁,,,행정,일반행정,9급,일반,1,,,,,,,,2,,70.00,,,,,1-1.+필기시험+합격선게시용.pdf,
울산,공무원,2025,2회,공개경쟁,,,,,9급,계(13개직렬/17개직류),129,,,,,,,,157,,,,,,,2.+필기시험+합격선2025년+제2회.pdf,
울산,공무원,2025,2회,공개경쟁,,,행정,일반행정,9급,일반,44,,,,,,,,49,,90,,,,,2.+필기시험+합격선2025년+제2회.pdf,
울산,공무원,2023,1회,공개경쟁,,,행정,일반행정,9급,일반,40,,,,,,,,56,,91.00,,90.00,,,필기시험+합격선2023년도+제1회.pdf,
울산,공무원,2023,1회,공개경쟁,,,행정,일반행정,9급,장애인,1,,,,,,,,2,,64.00,,,,,필기시험+합격선2023년도+제1회.pdf,
울산,공무원,2023,1회,공개경쟁,,,행정,일반행정,9급,저소득층,1,,,,,,,,2,,80.00,,,,,필기시험+합격선2023년도+제1회.pdf,
울산,공무원,2023,1회,공개경쟁,,,세무,지방세,9급,일반,3,,,,,,,,5,,80.00,,,,,필기시험+합격선2023년도+제1회.pdf,
울산,공무원,2023,1회,공개경쟁,,,세무,지방세,9급,장애인,1,,,,,,,,0,,,,,,,필기시험+합격선2023년도+제1회.pdf,
울산,공무원,2023,1회,공개경쟁,,,전산,전산,9급,일반,2,,,,,,,,3,,74.00,,,,,필기시험+합격선2023년도+제1회.pdf,
울산,공무원,2023,1회,공개경쟁,,,사회복지,사회복지,9급,일반,12,,,,,,,,17,,84.00,,81.00,,,필기시험+합격선2023년도+제1회.pdf,
울산,공무원,2023,1회,공개경쟁,,,사회복지,사회복지,9급,장애인,4,,,,,,,,0,,,,,,,필기시험+합격선2023년도+제1회.pdf,
울산,공무원,2023,1회,공개경쟁,,,시설,일반토목,9급,일반,23,,,,,,,,26,,58.00,,,,,필기시험+합격선2023년도+제1회.pdf,
울산,공무원,2023,1회,공개경쟁,,,시설,일반토목,9급,저소득층,1,,,,,,,,0,,,,,,,필기시험+합격선2023년도+제1회.pdf,
울산,공무원,2023,1회,공개경쟁,,,시설,건축,9급,일반,21,,,,,,,,26,,68.00,,67.00,,,필기시험+합격선2023년도+제1회.pdf,
울산,공무원,2023,1회,공개경쟁,,,시설,건축,9급,저소득층,1,,,,,,,,0,,,,,,,필기시험+합격선2023년도+제1회.pdf,
