지역,시험종류,연도,회차,시험구분,임용예정기관,직군,직렬,직류,직급,대상,선발예정인원,접수인원,접수여성,경쟁률(접수/선발),응시인원,응시여성,응시율,경쟁률(응시/선발),필기합격인원,필기합격여성,합격선,양성평등성별,양성평등합격선,최종합격인원,최종합격여성,원본파일명,비고
인천,공무원,2024,,공개경쟁,시·구,,행정,일반행정,7급,일반,2,423,,,220,,,,4,,93,,,2,,(붙임2)2024년도 인천광역시 지방공무원 임용시험 통계자료.pdf,
인천,공무원,2024,,공개경쟁,시·구,,시설관리,전기시설,9급,보훈청추천,1,2,,,2,,,,0,,,,,0,,(붙임2)2024년도 인천광역시 지방공무원 임용시험 통계자료.pdf,
인천,공무원,2024,,공개경쟁,시·구,,시설관리,화공시설,9급,보훈청추천,1,1,,,1,,,,0,,,,,0,,(붙임2)2024년도 인천광역시 지방공무원 임용시험 통계자료.pdf,
인천,공무원,2024,,공개경쟁,시·구,,수의,수의,7급,일반,6,4,,,1,,,,0,,,,,0,,(붙임2)2024년도 인천광역시 지방공무원 임용시험 통계자료.pdf,
인천,공무원,2024,,공개경쟁,강화군,,수의,수의,7급,일반,2,0,,,0,,,,0,,,,,0,,(붙임2)2024년도 인천광역시 지방공무원 임용시험 통계자료.pdf,
인천,공무원,2024,,공개경쟁,시·구,,의료기술,방사선,9급,일반,2,18,,,12,,,,4,,91.67,,,3,,(붙임2)2024년도 인천광역시 지방공무원 임용시험 통계자료.pdf,
인천,공무원,2024,,공개경쟁,시·구,,의료기술,치위생,9급,일반,1,23,,,18,,,,3,,91.67,,,1,,(붙임2)2024년도 인천광역시 지방공무원 임용시험 통계자료.pdf,
인천,공무원,2024,,공개경쟁,시·구,,의료기술,작업치료,9급,일반,1,16,,,12,,,,3,,81.67,,,1,,(붙임2)2024년도 인천광역시 지방공무원 임용시험 통계자료.pdf,
인천,공무원,2024,,공개경쟁,시·구,,공업,일반전기,9급,기술계고,1,2,,,2,,,,1,,99.67,,,1,,(붙임2)2024년도 인천광역시 지방공무원 임용시험 통계자료.pdf,
인천,공무원,2024,,공개경쟁,시·구,,공업,일반토목,9급,기술계고,1,1,,,1,,,,1,,99.67,,,1,,(붙임2)2024년도 인천광역시 지방공무원 임용시험 통계자료.pdf,
인천,공무원,2024,,공개경쟁,시·구,,시설,건축,9급,기술계고,1,4,,,4,,,,3,,69.67,,,1,,(붙임2)2024년도 인천광역시 지방공무원 임용시험 통계자료.pdf,
인천,공무원,2024,,공개경쟁,시·구,,운전,운전,9급,보훈청추천,1,0,,,0,,,,0,,,,,0,,(붙임2)2024년도 인천광역시 지방공무원 임용시험 통계자료.pdf,
인천,공무원,2024,,공개경쟁,시·구,,보건연구사(공중보건),보건연구사(공중보건),,일반,5,76,,,50,,,,7,,88.33,,,5,,(붙임2)2024년도 인천광역시 지방공무원 임용시험 통계자료.pdf,
인천,공무원,2024,,공개경쟁,시·구,,환경연구사(환경),환경연구사(환경),,일반,7,114,,,71,,,,8,,75,,,7,,(붙임2)2024년도 인천광역시 지방공무원 임용시험 통계자료.pdf,
인천,공무원,2023,,공개경쟁,시·구,,간호,간호,8급,일반,13,235,,,178,,,,20,,89,,,,,2023 인천.pdf,총점445
인천,공무원,2023,,공개경쟁,강화군,,간호,간호,8급,일반,1,16,,,13,,,,3,,82,,,,,2023 인천.pdf,총점410
인천,공무원,2023,,공개경쟁,시·구,,행정,일반행정,9급,일반,164,2860,,,2128,,,,243,,89,,,,,2023 인천.pdf,총점445
인천,공무원,2023,,공개경쟁,강화군,,행정,일반행정,9급,일반,16,82,,,68,,,,19,,80,,,,,2023 인천.pdf,총점400
인천,공무원,2023,,공개경쟁,옹진군,,행정,일반행정,9급,일반,18,108,,,82,,,,23,,78,,,,,2023 인천.pdf,총점390
인천,공무원,2023,,공개경쟁,시·구,,행정,일반행정,9급,장애인,16,69,,,50,,,,9,,49,,,,,2023 인천.pdf,총점245
인천,공무원,2023,,공개경쟁,강화군,,행정,일반행정,9급,장애인,3,2,,,2,,,,0,,,,,,,2023 인천.pdf,총점0
인천,공무원,2023,,공개경쟁,옹진군,,행정,일반행정,9급,장애인,5,1,,,1,,,,0,,,,,,,2023 인천.pdf,총점0
인천,공무원,2023,,공개경쟁,시·구,,행정,일반행정,9급,저소득층,11,83,,,57,,,,13,,70,,,,,2023 인천.pdf,총점350
인천,공무원,2023,,공개경쟁,강화군,,행정,일반행정,9급,저소득층,1,2,,,2,,,,1,,66,,,,,2023 인천.pdf,총점330
인천,공무원,2023,,공개경쟁,옹진군,,행정,일반행정,9급,저소득층,2,2,,,2,,,,0,,,,,,,2023 인천.pdf,총점0
인천,공무원,2023,,공개경쟁,시·구,,세무,지방세,9급,일반,21,391,,,275,,,,25,,82,,,,,2023 인천.pdf,총점410
인천,공무원,2023,,공개경쟁,시·구,,세무,지방세,9급,장애인,5,4,,,4,,,,0,,,,,,,2023 인천.pdf,총점0
인천,공무원,2023,,공개경쟁,시·구,,전산,전산,9급,일반,6,139,,,90,,,,8,,86,,,,,2023 인천.pdf,총점430
인천,공무원,2023,,공개경쟁,옹진군,,전산,전산,9급,일반,1,9,,,5,,,,3,,59,,,,,2023 인천.pdf,총점295
인천,공무원,2023,,공개경쟁,시·구,,사회복지,사회복지,9급,일반,50,694,,,541,,,,68,,81,,,,,2023 인천.pdf,총점405
인천,공무원,2023,,공개경쟁,강화군,,사회복지,사회복지,9급,일반,1,10,,,8,,,,3,,72,,,,,2023 인천.pdf,총점360
인천,공무원,2023,,공개경쟁,옹진군,,사회복지,사회복지,9급,일반,2,18,,,16,,,,4,,64,,,,,2023 인천.pdf,총점320
인천,공무원,2023,,공개경쟁,시·구,,사회복지,사회복지,9급,장애인,6,20,,,15,,,,0,,,,,,,2023 인천.pdf,총점0
인천,공무원,2023,,공개경쟁,옹진군,,사회복지,사회복지,9급,장애인,1,0,,,0,,,,0,,,,,,,2023 인천.pdf,총점0
인천,공무원,2023,,공개경쟁,시·구,,사회복지,사회복지,9급,저소득층,3,33,,,26,,,,5,,64,,,,,2023 인천.pdf,총점320
인천,공무원,2023,,공개경쟁,시·구,,사서,사서,9급,일반,4,75,,,43,,,,9,,73,,,,,2023 인천.pdf,총점365
인천,공무원,2023,,공개경쟁,시·구,,사서,사서,9급,장애인,1,1,,,1,,,,0,,,,,,,2023 인천.pdf,총점0
인천,공무원,2023,,공개경쟁,시·구,,공업,일반기계,9급,일반,17,98,,,66,,,,23,,77,,,,,2023 인천.pdf,총점385
인천,공무원,2023,,공개경쟁,시·구,,공업,일반기계,9급,저소득층,1,1,,,1,,,,0,,,,,,,2023 인천.pdf,총점0
인천,공무원,2023,,공개경쟁,시·구,,공업,일반전기,9급,일반,9,101,,,67,,,,11,,78,,,,,2023 인천.pdf,총점390
인천,공무원,2023,,공개경쟁,시·구,,공업,일반전기,9급,저소득층,1,0,,,0,,,,0,,,,,,,2023 인천.pdf,총점0
인천,공무원,2023,,공개경쟁,시·구,,공업,일반화공,9급,일반,3,28,,,17,,,,5,,86,,,,,2023 인천.pdf,총점430
인천,공무원,2023,,공개경쟁,시·구,,농업,일반농업,9급,일반,3,34,,,28,,,,6,,83,,,,,2023 인천.pdf,총점415
인천,공무원,2023,,공개경쟁,시·구,,농업,축산,9급,일반,3,15,,,13,,,,5,,75,,,,,2023 인천.pdf,총점375
인천,공무원,2023,,공개경쟁,시·구,,녹지,산림자원,9급,일반,15,62,,,43,,,,18,,83,,,,,2023 인천.pdf,총점415
인천,공무원,2023,,공개경쟁,강화군,,녹지,산림자원,9급,일반,1,11,,,7,,,,1,,62,,,,,2023 인천.pdf,총점310
