지역,시험종류,연도,회차,시험구분,임용예정기관,직군,직렬,직류,직급,대상,선발예정인원,접수인원,접수여성,경쟁률(접수/선발),응시인원,응시여성,응시율,경쟁률(응시/선발),필기합격인원,필기합격여성,합격선,양성평등성별,양성평등합격선,최종합격인원,최종합격여성,원본파일명,비고
서울,교행,2026,1회,공개경쟁,,,교육행정,교육행정,9급,일반,316,2909,,9.2:1,,,,,,,,,,,,2026년도 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용시험 원서접수결과(게시용).pdf,
서울,교행,2026,1회,공개경쟁,,,교육행정,교육행정,9급,장애인,30,111,,3.7:1,,,,,,,,,,,,2026년도 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용시험 원서접수결과(게시용).pdf,
서울,교행,2026,1회,공개경쟁,,,교육행정,교육행정,9급,저소득층,5,65,,13.0:1,,,,,,,,,,,,2026년도 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용시험 원서접수결과(게시용).pdf,
서울,교행,2026,1회,공개경쟁,,,사서,사서,9급,일반,42,618,,14.7:1,,,,,,,,,,,,2026년도 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용시험 원서접수결과(게시용).pdf,
서울,교행,2026,1회,공개경쟁,,,사서,사서,9급,장애인,6,14,,2.3:1,,,,,,,,,,,,2026년도 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용시험 원서접수결과(게시용).pdf,
서울,교행,2026,1회,공개경쟁,,,사서,사서,9급,저소득층,2,7,,3.5:1,,,,,,,,,,,,2026년도 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용시험 원서접수결과(게시용).pdf,
서울,교행,2026,1회,공개경쟁,,,공업,일반전기,9급,일반,4,21,,5.2:1,,,,,,,,,,,,2026년도 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용시험 원서접수결과(게시용).pdf,
서울,교행,2026,1회,경력경쟁,,,시설관리,시설관리,9급,일반,47,386,,8.2:1,,,,,,,,,,,,2026년도 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용시험 원서접수결과(게시용).pdf,
서울,교행,2026,1회,경력경쟁,,,시설관리,시설관리,9급,저소득층,2,7,,3.5:1,,,,,,,,,,,,2026년도 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용시험 원서접수결과(게시용).pdf,
서울,교행,2026,1회,경력경쟁,,,시설관리,시설관리,9급,국가유공자,15,13,,0.9:1,,,,,,,,,,,,2026년도 제1회 서울특별시교육청 지방공무원 9급 공개(경력)경쟁임용시험 원서접수결과(게시용).pdf,
부산,공무원,2026,1회,공개경쟁,,행정직군,행정,일반행정,9급,일반,383,4282,,11.2:1,,,,,,,,,,,,2026년 제1회 부산광역시 임용시험 응시원서 접수 현황.pdf,전년경쟁률 49.4
부산,공무원,2026,1회,공개경쟁,,행정직군,행정,일반행정,9급,장애인,39,100,,2.6:1,,,,,,,,,,,,2026년 제1회 부산광역시 임용시험 응시원서 접수 현황.pdf,전년경쟁률 9.3
부산,공무원,2026,1회,공개경쟁,,행정직군,행정,일반행정,9급,저소득층,14,114,,8.1:1,,,,,,,,,,,,2026년 제1회 부산광역시 임용시험 응시원서 접수 현황.pdf,전년경쟁률 31.0
부산,공무원,2026,1회,공개경쟁,,행정직군,세무,지방세,9급,일반,61,941,,15.4:1,,,,,,,,,,,,2026년 제1회 부산광역시 임용시험 응시원서 접수 현황.pdf,전년경쟁률 31.6
부산,공무원,2026,1회,공개경쟁,,행정직군,세무,지방세,9급,장애인,6,8,,1.3:1,,,,,,,,,,,,2026년 제1회 부산광역시 임용시험 응시원서 접수 현황.pdf,전년경쟁률 3.3
부산,공무원,2026,1회,공개경쟁,,행정직군,세무,지방세,9급,저소득층,2,25,,12.5:1,,,,,,,,,,,,2026년 제1회 부산광역시 임용시험 응시원서 접수 현황.pdf,전년경쟁률 18.0
부산,공무원,2026,1회,공개경쟁,,행정직군,전산,전산,9급,일반,8,256,,32.0:1,,,,,,,,,,,,2026년 제1회 부산광역시 임용시험 응시원서 접수 현황.pdf,전년경쟁률 93.0
