그룹,그룹줄수,지역,시험종류,연도,회차,시험구분,임용기관,직군,직렬,직류,직급,대상,선발,접수,응시,합격선,원본파일명
1,2,경기,공무원,2023,1회,공개경쟁,수원시,,사회복지,사회복지,9급,일반,12,248,197,84,2023년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.pdf
1,2,경기,공무원,2023,1회,공개경쟁,수원시,,사회복지,사회복지,9급,일반,4,12,11,53,2023년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.pdf
2,2,경기,공무원,2023,1회,공개경쟁,수원시,,사서,사서,9급,일반,2,85,59,78,2023년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.pdf
2,2,경기,공무원,2023,1회,공개경쟁,수원시,,사서,사서,9급,일반,1,2,2,72,2023년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.pdf
3,2,경기,공무원,2023,1회,공개경쟁,수원시,,농업,축산,9급,일반,2,33,21,84,2023년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.pdf
3,2,경기,공무원,2023,1회,공개경쟁,수원시,,농업,축산,9급,일반,3,26,23,86,2023년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.pdf
4,2,경기,공무원,2023,1회,공개경쟁,화성시,,농업,축산,9급,일반,2,9,6,77,2023년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.pdf
4,2,경기,공무원,2023,1회,공개경쟁,화성시,,농업,축산,9급,일반,5,56,47,88,2023년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.pdf
5,2,경기,공무원,2023,1회,공개경쟁,경기도,,행정,일반행정,9급,장애인,2,19,12,57,2023년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.pdf
5,2,경기,공무원,2023,1회,공개경쟁,경기도,,행정,일반행정,9급,장애인,1,11,5,65,2023년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.pdf
6,2,경기,공무원,2023,1회,공개경쟁,수원시,,행정,일반행정,9급,장애인,14,41,31,46,2023년도+제1회+경기도+지방공무원+공개경쟁임용+필기시험+합격선.pdf
