지역,연도,회차,임용기관,직군,직렬,직류,대상,선발,접수,응시,합격선,원본파일명,중복그룹
서울,2023,2회,,행정직군,행정,일반행정,일반,44,8987,5229,96,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복1
서울,2023,2회,,행정직군,행정,일반행정,일반,44,8987,5229,96,서울 7급 현황+합격선 병합,중복1
서울,2023,2회,,행정직군,행정,일반행정,지방의회,10,799,404,95,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복2
서울,2023,2회,,행정직군,행정,일반행정,지방의회,10,799,404,95,서울 7급 현황+합격선 병합,중복2
서울,2023,2회,,행정직군,행정,일반행정,장애인,3,149,61,82,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복3
서울,2023,2회,,행정직군,행정,일반행정,장애인,3,149,61,82,서울 7급 현황+합격선 병합,중복3
서울,2023,2회,,행정직군,세무,지방세,일반,3,731,259,84,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복4
서울,2023,2회,,행정직군,세무,지방세,일반,3,731,259,84,서울 7급 현황+합격선 병합,중복4
서울,2023,2회,,기술직군,공업,일반기계,일반,5,245,110,80,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복5
서울,2023,2회,,기술직군,공업,일반기계,일반,5,245,110,80,서울 7급 현황+합격선 병합,중복5
서울,2023,2회,,기술직군,공업,일반전기,일반,1,192,57,72,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복6
서울,2023,2회,,기술직군,공업,일반전기,일반,1,192,57,72,서울 7급 현황+합격선 병합,중복6
서울,2023,2회,,기술직군,공업,일반화공,일반,2,158,78,86,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복7
서울,2023,2회,,기술직군,공업,일반화공,일반,2,158,78,86,서울 7급 현황+합격선 병합,중복7
서울,2023,2회,,기술직군,녹지,산림자원,일반,4,122,41,73,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복8
서울,2023,2회,,기술직군,녹지,산림자원,일반,4,122,41,73,서울 7급 현황+합격선 병합,중복8
서울,2023,2회,,기술직군,녹지,조경,일반,4,159,69,71,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복9
서울,2023,2회,,기술직군,녹지,조경,일반,4,159,69,71,서울 7급 현황+합격선 병합,중복9
서울,2023,2회,,기술직군,환경,일반환경,일반,1,90,39,77,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복10
