지역,시험종류,연도,회차,시험구분,임용예정기관,직군,직렬,직류,직급,대상,선발예정인원,접수인원,접수여성,경쟁률(접수/선발),응시인원,응시여성,응시율,경쟁률(응시/선발),필기합격인원,필기합격여성,합격선,양성평등성별,양성평등합격선,최종합격인원,최종합격여성,원본파일명,비고
서울,공무원,2023,1회,공개경쟁,,행정직군,행정,일반행정,9급,일반,585,12006,7653,20.5:1,8305,5474,69.2,14.2:1,712,473,91,남,90,650,438,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,행정,일반행정,9급,지방의회,31,625,354,20.2:1,330,187,52.8,10.6:1,52,26,92,,,40,20,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,행정,일반행정,9급,장애인,37,269,101,7.3:1,191,72,71.0,5.2:1,49,20,59,,,38,18,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,행정,일반행정,9급,저소득층,72,454,257,6.3:1,317,184,69.8,4.4:1,97,53,72,,,73,42,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,세무,지방세,9급,일반,83,2059,1250,24.8:1,1317,813,64.0,15.9:1,116,74,83,,,84,56,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,세무,지방세,9급,장애인,5,11,6,2.2:1,6,3,54.5,1.2:1,3,1,53,,,3,1,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,세무,지방세,9급,저소득층,10,73,46,7.3:1,47,29,64.4,4.7:1,13,9,69,,,9,6,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,전산,전산,9급,일반,38,673,362,17.7:1,413,223,61.4,10.9:1,50,25,83,,,41,22,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,전산,전산,9급,장애인,3,14,0,4.7:1,11,0,78.6,3.7:1,5,0,69,,,3,0,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,전산,전산,9급,저소득층,5,26,12,5.2:1,19,9,73.1,3.8:1,7,4,67,,,5,3,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,사회복지,사회복지,9급,일반,231,2472,1863,10.7:1,1903,1419,77.0,8.2:1,335,238,81,남,78,287,208,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,사회복지,사회복지,9급,장애인,14,67,30,4.8:1,53,23,79.1,3.8:1,6,3,54,,,5,2,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,사회복지,사회복지,9급,저소득층,28,140,98,5.0:1,113,77,80.7,4.0:1,37,27,61,남,60,29,21,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,사서,사서,9급,일반,3,183,157,61.0:1,76,63,41.5,25.3:1,5,2,89,,,3,2,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,속기,속기,9급,지방의회,8,97,78,12.1:1,68,56,70.1,8.5:1,11,8,87,남,86,9,7,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,방호,방호,9급,일반,12,532,89,44.3:1,297,52,55.8,24.8:1,17,2,88.33,,,16,2,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,행정직군,방호,방호,9급,저소득층,2,23,3,11.5:1,16,1,69.6,8.0:1,5,1,73.33,,,2,1,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,공업,일반기계,9급,일반,43,226,43,5.3:1,155,25,68.6,3.6:1,60,12,79,여,76,50,12,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,공업,일반기계,9급,장애인,4,6,0,1.5:1,4,0,66.7,1.0:1,0,0,,,,0,0,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
